scenario,true_fcr,proxy_fcr,repeat_30d,repeat_31_60d,churn,aht,burnout,compliance,strain,rep_id,condition,call_id
fraud_store_promo,0.183,0.9242,0.2905,0.472,0.0967,536.4,0.4589,0.4005,0.3361,REP-0001,baseline,BASELINE-00001
fraud_store_promo,0.143,0.9046,0.3174,0.442,0.0706,502.0,0.349,0.2743,0.4518,REP-0002,baseline,BASELINE-00002
clean,0.5657,0.9006,0.0741,0.0,0.03,490.9,0.3713,0.3568,0.3897,REP-0003,baseline,BASELINE-00003
clean,0.6317,0.9263,0.008,0.1385,0.0835,524.4,0.3469,0.3197,0.4725,REP-0004,baseline,BASELINE-00004
gamed_metric,0.0812,0.9236,0.0979,0.4741,0.0819,524.2,0.3238,0.3689,0.4041,REP-0005,baseline,BASELINE-00005
clean,0.5931,0.8989,0.0676,0.116,0.085,518.9,0.2551,0.2597,0.3708,REP-0006,baseline,BASELINE-00006
fraud_line_add,0.1885,0.8699,0.2494,0.3862,0.0993,532.9,0.1616,0.2013,0.3947,REP-0007,baseline,BASELINE-00007
clean,0.5567,0.8597,0.0868,0.097,0.0155,540.9,0.3589,0.3132,0.4109,REP-0008,baseline,BASELINE-00008
clean,0.5975,0.9106,0.0858,0.0475,0.0587,497.0,0.128,0.2633,0.4492,REP-0009,baseline,BASELINE-00009
loyalty_offer_missed,0.1624,0.9837,0.1629,0.592,0.1039,532.1,0.2531,0.2316,0.4064,REP-0010,baseline,BASELINE-00010
gamed_metric,0.1798,0.9632,0.1223,0.4587,0.076,558.8,0.2646,0.3027,0.4108,REP-0011,baseline,BASELINE-00011
gamed_metric,0.1133,0.9196,0.1071,0.4902,0.104,536.7,0.3186,0.3937,0.4107,REP-0012,baseline,BASELINE-00012
clean,0.5539,0.8573,0.0337,0.0652,0.0423,575.7,0.4586,0.3265,0.3557,REP-0013,baseline,BASELINE-00013
clean,0.6902,0.9298,0.0296,0.0364,0.0602,518.3,0.396,0.3244,0.3357,REP-0014,baseline,BASELINE-00014
gamed_metric,0.1359,0.9141,0.1697,0.4907,0.075,526.1,0.4037,0.3127,0.3299,REP-0015,baseline,BASELINE-00015
clean,0.6825,0.8735,0.0557,0.0253,0.0365,555.3,0.4801,0.3089,0.437,REP-0016,baseline,BASELINE-00016
clean,0.6955,0.9033,0.0244,0.0302,0.025,570.6,0.4731,0.311,0.4367,REP-0017,baseline,BASELINE-00017
clean,0.657,0.8869,0.0056,0.076,0.0509,587.4,0.4418,0.3685,0.427,REP-0018,baseline,BASELINE-00018
fraud_line_add,0.1344,0.8755,0.2281,0.4976,0.0987,551.7,0.327,0.3315,0.3677,REP-0019,baseline,BASELINE-00019
fraud_store_promo,0.1914,0.8491,0.3364,0.4104,0.1134,588.8,0.4603,0.4979,0.3505,REP-0020,baseline,BASELINE-00020
gamed_metric,0.0899,0.9926,0.1383,0.5595,0.1387,558.5,0.4406,0.3043,0.3647,REP-0021,baseline,BASELINE-00021
unresolvable_clean,0.1261,0.5373,0.3433,0.2894,0.0684,552.1,0.38,0.3648,0.3728,REP-0022,baseline,BASELINE-00022
fraud_line_add,0.1941,0.8747,0.3144,0.4216,0.1197,536.6,0.1881,0.2482,0.4913,REP-0023,baseline,BASELINE-00023
loyalty_offer_missed,0.0899,0.9453,0.1836,0.6028,0.1376,628.3,0.4954,0.3678,0.4163,REP-0024,baseline,BASELINE-00024
gamed_metric,0.1063,0.9155,0.0887,0.5495,0.1222,546.0,0.3844,0.361,0.3943,REP-0025,baseline,BASELINE-00025
clean,0.6314,0.9343,0.1089,0.1291,0.0877,541.7,0.4404,0.5553,0.4545,REP-0026,baseline,BASELINE-00026
unresolvable_clean,0.0287,0.6036,0.2502,0.2523,0.1129,568.6,0.3236,0.305,0.3303,REP-0027,baseline,BASELINE-00027
clean,0.5235,0.874,0.0735,0.0369,0.062,599.2,0.4541,0.3652,0.3228,REP-0028,baseline,BASELINE-00028
unresolvable_clean,0.0509,0.5093,0.3291,0.2418,0.0614,521.1,0.2583,0.2954,0.32,REP-0029,baseline,BASELINE-00029
clean,0.7923,0.9622,0.0859,0.0822,0.0181,585.6,0.3938,0.2753,0.3577,REP-0030,baseline,BASELINE-00030
clean,0.5471,0.9006,0.0553,0.0462,0.0212,471.8,0.0,0.191,0.2893,REP-0031,baseline,BASELINE-00031
loyalty_offer_missed,0.0,0.934,0.2012,0.5863,0.1106,503.4,0.227,0.2205,0.4273,REP-0032,baseline,BASELINE-00032
clean,0.7067,0.8944,0.0693,0.0214,0.0007,559.7,0.4507,0.3311,0.4198,REP-0033,baseline,BASELINE-00033
gamed_metric,0.1075,0.9179,0.1667,0.4921,0.0666,569.3,0.4052,0.3451,0.4266,REP-0034,baseline,BASELINE-00034
unresolvable_clean,0.1228,0.5076,0.3137,0.2309,0.0794,510.0,0.1617,0.1079,0.434,REP-0035,baseline,BASELINE-00035
clean,0.5245,0.9326,0.0667,0.0,0.0606,536.0,0.2407,0.2709,0.3289,REP-0036,baseline,BASELINE-00036
fraud_line_add,0.1243,0.8896,0.3251,0.4017,0.0747,537.1,0.2507,0.2515,0.5064,REP-0037,baseline,BASELINE-00037
fraud_care_promo,0.1952,0.9146,0.2232,0.3514,0.0329,536.6,0.3232,0.3578,0.3927,REP-0038,baseline,BASELINE-00038
loyalty_offer_missed,0.1027,0.9141,0.1866,0.6677,0.1273,560.8,0.2901,0.3797,0.398,REP-0039,baseline,BASELINE-00039
loyalty_offer_missed,0.0663,0.9358,0.1948,0.6803,0.1308,543.6,0.431,0.4249,0.3522,REP-0040,baseline,BASELINE-00040
clean,0.6382,0.8707,0.0485,0.0164,0.0375,527.6,0.2407,0.2146,0.3454,REP-0041,baseline,BASELINE-00041
clean,0.4955,0.8695,0.0734,0.0,0.0597,644.0,0.5754,0.452,0.3513,REP-0042,baseline,BASELINE-00042
fraud_care_promo,0.1442,0.9064,0.2522,0.3412,0.0919,530.3,0.162,0.261,0.3234,REP-0043,baseline,BASELINE-00043
loyalty_offer_missed,0.0923,0.955,0.1885,0.5654,0.155,576.9,0.5399,0.2504,0.4206,REP-0044,baseline,BASELINE-00044
loyalty_offer_missed,0.1155,0.9578,0.1952,0.5764,0.1547,531.4,0.0361,0.1377,0.4063,REP-0045,baseline,BASELINE-00045
unresolvable_clean,0.1586,0.5169,0.2784,0.28,0.0235,509.5,0.2309,0.2685,0.3302,REP-0046,baseline,BASELINE-00046
fraud_care_promo,0.2035,0.9394,0.2607,0.3741,0.1167,505.2,0.0792,0.2041,0.3671,REP-0047,baseline,BASELINE-00047
clean,0.5107,0.8571,0.0411,0.0515,0.0282,584.5,0.4515,0.4159,0.3849,REP-0048,baseline,BASELINE-00048
clean,0.7433,0.8934,0.0254,0.0537,0.0109,513.9,0.1499,0.2772,0.4008,REP-0049,baseline,BASELINE-00049
gamed_metric,0.0422,0.9029,0.1187,0.4348,0.0831,569.2,0.3825,0.459,0.3796,REP-0050,baseline,BASELINE-00050
gamed_metric,0.1546,0.9134,0.145,0.5403,0.0726,512.1,0.2776,0.2759,0.4544,REP-0051,baseline,BASELINE-00051
loyalty_offer_missed,0.1575,0.9247,0.1828,0.6301,0.1337,549.3,0.2916,0.2995,0.4828,REP-0052,baseline,BASELINE-00052
loyalty_offer_missed,0.1278,0.9012,0.1607,0.6622,0.1271,568.0,0.4196,0.2257,0.3257,REP-0053,baseline,BASELINE-00053
fraud_line_add,0.1554,0.9231,0.2691,0.4247,0.0944,518.3,0.3033,0.2875,0.3654,REP-0054,baseline,BASELINE-00054
